func_code | module_code | func_type | func_cname
================================================================================
login | login | 2 | 使用者登入
logout | logout | 2 | 使用者登出
change_password | change_password | 2 | 密碼變更
user_profile | user_profile | 2 | 個人資料變更
dashboard | home | 2 | 儀表板
tenants | NULL | 1 | 組織管理作業
standard_settings | NULL | 1 | 標準化設定
system_mana | NULL | 1 | 系統管理後台
tenant_profile | organizations | 2 | 組織資料管理
tenant_users | users | 2 | 組織成員管理
system_codes | system_codes | 2 | 系統代碼維護
numbering_rules | numbering_rules | 2 | 編號規則設定
file_attachments | file_attachments | 2 | 檔案附件管理
sys_profile | sys_profiles | 2 | 系統基本資料
organizations | organizations | 2 | 組織資料維護
user_roles | user_roles | 2 | 角色資料維護
users | users | 2 | 使用者資料維護
system_functions | system_functions | 2 | 系統功能資料維護
role_rights | role_rights | 2 | 角色權限設定作業
user_logs | user_logs | 2 | 使用者日誌紀錄
system_notifications | system_notifications | 2 | 系統通知管理
